Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,hdop,utm_easting,utm_northing,utc,zone,letter
1697493651.405413,43,0,20000,GPS_frame1,42.33884235833334,-71.08836141,30.706,4.8,327963.85323026543,4689510.74802616,220051.20,19,T
1697493651.6108475,44,0,40000,GPS_frame1,42.33884211666667,-71.08836135166666,30.685,4.8,327963.85737681494,4689510.721072888,220051.40,19,T
1697493651.8036559,45,0,60000,GPS_frame1,42.338842165,-71.08836131,30.671,4.8,327963.86094121245,4689510.726355636,220051.60,19,T
1697493652.0062373,46,0,80000,GPS_frame1,42.338842091666656,-71.08836132166667,30.628,4.8,327963.85978009575,4689510.718236129,220051.80,19,T
1697493652.2015882,47,0,0,GPS_frame1,42.33884186833334,-71.08836126333334,30.593,4.8,327963.8639766435,4689510.693318635,220052.00,19,T
1697493652.4054422,48,0,20000,GPS_frame1,42.33884165166668,-71.08836129666666,30.541,4.8,327963.86063969345,4689510.669326892,220052.20,19,T
1697493652.6075947,49,0,40000,GPS_frame1,42.33884206333334,-71.0883612,30.552,4.8,327963.86972596706,4689510.714843764,220052.40,19,T
1697493652.8041158,50,0,60000,GPS_frame1,42.33884222166667,-71.08836110166666,30.527,4.8,327963.8782586631,4689510.732226521,220052.60,19,T
1697493653.006745,51,0,80000,GPS_frame1,42.33884243666667,-71.08836106166667,30.503,4.8,327963.8821402815,4689510.756019708,220052.80,19,T
1697493653.2054207,52,0,0,GPS_frame1,42.33884247166667,-71.08836103666665,30.484,4.8,327963.88429528376,4689510.759855611,220053.00,19,T
1697493653.406004,53,0,20000,GPS_frame1,42.33884243333333,-71.088360945,30.461,4.8,327963.8917424232,4689510.7554135155,220053.20,19,T
1697493653.609082,54,0,40000,GPS_frame1,42.33884286833333,-71.08836097333332,30.476,4.8,327963.89059458394,4689510.803774287,220053.40,19,T
1697493653.8068278,55,0,60000,GPS_frame1,42.338843088333334,-71.08836086333334,30.477,4.8,327963.9002565794,4689510.827981057,220053.60,19,T
1697493654.0084674,56,0,80000,GPS_frame1,42.338842396666664,-71.08836090166666,30.393,4.8,327963.89521231217,4689510.751254286,220053.80,19,T
1697493654.2067115,57,0,0,GPS_frame1,42.33884268666667,-71.08836082166665,30.391,4.8,327963.90259374946,4689510.7832947215,220054.00,19,T
1697493654.4087791,58,0,20000,GPS_frame1,42.33884716166667,-71.08836026833333,30.762,1.7,327963.96038251364,4689511.279089928,220054.20,19,T
1697493654.6113708,59,0,40000,GPS_frame1,42.33884991,-71.08835992333334,30.951,1.7,327963.9962994519,4689511.5835734345,220054.40,19,T
1697493654.8115711,60,0,60000,GPS_frame1,42.33885280166666,-71.08835948,31.166,1.7,327964.04070818133,4689511.903774062,220054.60,19,T
1697493655.00711,61,0,80000,GPS_frame1,42.33885493,-71.08835909,31.327,1.7,327964.0786414637,4689512.139320233,220054.80,19,T
1697493655.2071419,62,0,0,GPS_frame1,42.338857354999995,-71.08835881,31.511,1.7,327964.1083217886,4689512.408031543,220055.00,19,T
1697493655.4130733,63,0,20000,GPS_frame1,42.33885982499999,-71.08835852833334,31.665,1.7,327964.1382621353,4689512.681736388,220055.20,19,T
1697493655.6069877,64,0,40000,GPS_frame1,42.33886239,-71.088358095,31.857,1.7,327964.1809561603,4689512.965683402,220055.40,19,T
1697493655.8090627,65,0,60000,GPS_frame1,42.33886514000001,-71.088357725,32.092,1.7,327964.2189371842,4689513.270301399,220055.60,19,T
1697493656.014656,66,0,80000,GPS_frame1,42.338868440000006,-71.08835712499999,32.33,1.7,327964.277365993,4689513.635527365,220055.80,19,T
